KOD;NAIM;NAIM_FULL;ADDRESS;COMMENT;
0255;ТОРМ в г. Белебей и Белебеевском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 27 по Республике Башкортостан в г. Белебей и Белебеевском районе;,452000,Башкортостан Респ,,Белебей г,,Коммунистическая ул,35,,;"Код ОКПО:12752260. Режим приема: понедельник, среда: 8.30 - 17.30; вторник, четверг: 8.30 - 20.00; пятница: 8.30 - 16.45; вторая и четвертая субботы месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0256;Межрайонная ИФНС России № 20 по Республике Башкортостан;Межрайонная инспекция Федеральной налоговой службы № 20 по Республике Башкортостан;,453505,Башкортостан Респ,,Белорецк г,,Кирова ул,48,,;"Код ОКПО:52984402. Режим приема: понедельник, среда: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; пятница: 9.00 - 16.45; вторая и четвертая субботы месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0257;ТОРМ в г.Бирск и Бирском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 33 по Республике Башкортостан в г. Бирск и Бирском районе;,452451,Башкортостан Респ,,Бирск г,,Мира ул,66,,;"Код ОКПО:31227298. Режим приема: понедельник, среда: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; пятница: 9.00 - 16.45; вторая и четвертая субботы месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0258;ТОРМ в г. Благовещенск и Благовещенском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 33 по Республике Башкортостан в г. Благовещенск и Благовещенском районе;,453430,Башкортостан Респ,,Благовещенск г,,Зенцова ул,4,,;"Код ОКПО:31227298. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; перерыв на обед: 12.30-13.15; суббота, воскресенье: выходные дни."
0259;ТОРМ в г. Давлеканово и Давлекановском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 31 по Республике Башкортостан в г. Давлеканово и Давлекановском районе;,453400,Башкортостан Респ,,Давлеканово г,,Победы ул,5,,;"Код ОКПО:31227252. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; третья суббота месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0260;ТОРМ в г. Дюртюли и Дюртюлинском районе;Территориально обособленное рабочее место Межрайонной ИФНС России № 1 по Республике Башкортостан в г. Дюртюли и Дюртюлинском районе;,452320,Башкортостан Респ,,Дюртюли г,,Ленина ул,1,4,;"Код ОКПО:12752165. Режим приема: понедельник-четверг: 9.00 - 18.00; пятница: 9.00 - 16.45; суббота, воскресенье: выходные дни."
0261;Межрайонная ИФНС России № 25 по Республике Башкортостан;Межрайонная инспекция Федеральной налоговой службы № 25 по Республике Башкортостан;,453215,Башкортостан Респ,,Ишимбай г,,Стахановская ул,65,,;"Код ОКПО:12752171. Режим приема: понедельник, среда: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; пятница: 9.00 - 16.45; вторая и четвертая субботы месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0262;ТОРМ в г. Кумертау;Территориально обособленное рабочее место Межрайонной ИФНС России № 25 по Республике Башкортостан в г. Кумертау;,453300,Башкортостан Респ,,Кумертау г,,Карла Маркса ул,4а,,;"Код ОКПО:12752171. Режим приема: понедельник, среда: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; пятница: 9.00 - 16.45; вторая и четвертая субботы месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0263;ТОРМ в г. Мелеуз;Территориально обособленное рабочее место Межрайонной ИФНС России № 25 по Республике Башкортостан в г. Мелеуз;,453850,Башкортостан Респ,,Мелеуз г,,Смоленская ул,108,,;"Код ОКПО:12752171. Режим приема: понедельник, среда: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; пятница: 9.00 - 16.45; вторая и четвертая субботы месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
0264;Межрайонная ИФНС России № 29 по Республике Башкортостан;Межрайонная инспекция Федеральной налоговой службы № 29 по Республике Башкортостан;,452680,Башкортостан Респ,,Нефтекамск г,,Строителей ул,19,,;"Код ОКПО:12752202. Режим приема: понедельник, среда: 9.00 - 18.00; вторник, четверг: 9.00 - 20.00; пятница: 9.00 - 16.45; вторая и четвертая субботы месяца: 10.00 - 15.00; остальные субботы, воскресенье: выходные дни."
